id,district,InvalidVotes,Museveni,winner,VoterTurnout,perctofregvoters,pertofinvalidvotes,perctofvalidvotes
1,Apac,3161,31908,Museveni,33421,62.3781435,3.558322264,58.81982124
2,Arua,2263,23824,Museveni,29671,54.86476619,4.808482156,51.42231282
3,Bundibugyo,2145,52408,Museveni,39554,65.14206148,2.78570925,63.2517273
4,Bushenyi,2674,66572,Museveni,53000,62.25474486,2.25118399,60.35038992
5,Gulu,2055,9997,Museveni,23448,48.28635702,6.971461338,43.75413524
6,Hoima,2971,38431,Museveni,34914,61.4708057,3.488307933,58.19217145
7,Iganga,3368,35660,Kyagulanyi,89199,52.17699001,1.694733512,50.37127585
8,Jinja,3115,23005,Kyagulanyi,54802,54.43722044,2.628078285,51.84738689
9,Kabale,2247,75032,Museveni,45535,66.65543831,2.314750401,65.00999568
10,Kabarole,3256,50058,Museveni,41949,60.95152102,2.942435864,57.92065383
11,Kalangala,1000,5275,Kyagulanyi,15724,55.66333004,8.91301283,52.84364867
12,Kampala,12624,128658,Kyagulanyi,729805,43.00219695,0.246874241,42.01626199
13,Kamuli,5899,57470,Kyagulanyi,103187,56.44592832,1.334222534,53.95602679
14,Kapchorwa,1021,30590,Museveni,15564,72.23243118,5.639506878,70.41087581
15,Kasese,6682,109275,Museveni,150054,60.9293388,0.823052768,59.18949742
16,Kibaale,1494,35804,Museveni,25136,63.49535995,4.590673425,61.3256459
17,Kiboga,2052,24254,Museveni,30805,62.17182012,3.881671046,59.65198811
18,Kisoro,2982,98694,Museveni,46538,70.64811544,1.993667693,68.76734447
19,Kitgum,4459,26880,Museveni,43795,55.86694077,3.185400165,51.37352117
20,Kotido,4846,32310,Museveni,17398,71.51884229,5.174671774,63.58576433
21,Kumi,3336,38234,Museveni,48389,59.37520989,2.653804822,56.57448452
22,Lira,2882,36908,Museveni,39694,61.52936616,3.063578213,58.73618918
23,Luwero,4649,41166,Kyagulanyi,105151,59.10351399,1.229410964,57.29537367
24,Masaka,1187,11317,Kyagulanyi,19478,64.98400029,5.68259447,62.85010607
25,Masindi,4364,55604,Museveni,68264,55.9032331,2.04192371,53.08420271
26,Mbale,2603,37106,Museveni,37096,65.77859779,2.916051661,63.37730627
27,Mbarara,1419,49807,Museveni,26154,68.94156207,3.753755537,67.25646902
28,Moroto,2225,21342,Museveni,11346,70.14524787,8.317545522,64.29060099
29,Moyo,1542,18227,Museveni,19333,57.38532413,6.967619635,53.98637776
30,Mpigi,2558,22333,Kyagulanyi,48782,64.05847074,2.328956869,62.17379131
31,Mubende,5661,71834,Museveni,76278,61.19451581,1.608119452,58.31455244
32,Mukono,4355,48062,Kyagulanyi,163946,53.85377524,0.889733305,52.62796425
33,Nebbi,4079,47285,Museveni,57866,55.66095565,2.422073743,52.53547675
34,Ntungamo,3921,161655,Museveni,77771,71.0394316,1.177101448,69.57931936
35,Pallisa,3938,53788,Museveni,44536,66.0988049,2.406181015,63.10116465
36,Rakai,3195,47288,Museveni,50208,62.85538844,2.338553958,60.49168078
37,Rukungiri,4058,77410,Museveni,72675,60.74125693,1.707559503,58.54914163
38,Soroti,2991,34590,Museveni,27410,70.43787748,3.409188956,67.21203624
39,Tororo,5792,86248,Museveni,108139,59.71486473,1.177570651,57.55716489
40,Adjumani,2540,35125,Museveni,30403,61.69169901,3.982914168,58.49125548
41,Bugiri,5285,45980,Kyagulanyi,88178,54.32446012,1.637374193,51.58686993
42,Busia,4793,44679,Kyagulanyi,62688,61.6753581,1.932494146,58.74513208
43,Katakwi,0,40777,Museveni,26916,67.63425603,3.801014887,67.63425603
44,Nakasongola,2416,35823,Museveni,32275,63.99767979,3.526052182,61.3026649
45,Ssembabule,2297,45234,Museveni,50186,62.0493043,2.390350877,60.31231095
46,Kamwenge,1087,85241,Museveni,25717,78.10685645,2.690991436,77.1814823
47,Kayunga,4507,35881,Kyagulanyi,83967,56.03292543,1.655173136,53.67295538
48,Kyenjojo,4744,110869,Museveni,81013,62.32163786,1.470150503,60.11524938
49,Mayuge,4487,50932,Kyagulanyi,109002,52.83667076,1.367711452,50.89522145
50,Pader,3244,28233,Museveni,34666,57.87746968,3.840919585,53.9356971
51,Sironko,7,43275,Museveni,50567,61.82614275,2.386290718,61.82085834
52,Wakiso,12518,122505,Kyagulanyi,580839,49.70468205,0.273713542,48.62073833
53,Yumbe,4075,50686,Museveni,38630,66.07087963,2.776338325,62.49176584
54,Kaberamaido,1456,18589,Museveni,17932,65.65408925,6.05439571,62.86535147
55,Kanungu,2604,72126,Museveni,57769,60.44952897,2.164119838,58.66674882
56,Nakapiripirit,1145,22029,Museveni,8171,74.98239491,9.678209485,71.47668473
57,Amolatar,1908,38619,Museveni,17989,74.72496593,4.441290939,72.04417405
58,Amuria,2216,34666,Museveni,29970,66.22032867,3.562814184,63.72263926
59,Bukwo,975,27888,Museveni,11231,74.5478856,7.163577029,72.33830395
60,Butaleja,2098,37856,Museveni,39493,64.33622005,2.854511139,62.44164101
61,Ibanda,2042,77521,Museveni,49685,64.63348661,2.250046268,63.17996099
62,Isingiro,2410,188609,Museveni,29969,87.14323099,1.356076174,86.10933552
63,Kaabong,3221,26100,Museveni,8206,80.08784063,7.670282206,72.27196622
64,Kaliro,3094,38189,Museveni,38962,64.4072132,2.887654614,61.5807648
65,Kiruhura,311,75483,Museveni,5148,93.7135949,3.860009036,93.33382179
66,Koboko,2933,34410,Museveni,42006,54.75685282,3.404599063,51.59782433
67,Manafwa,1849,32999,Museveni,28947,63.78184275,3.955007257,61.46839498
68,Mityana,3516,38163,Kyagulanyi,59896,65.97378841,1.79572684,63.97639025
69,Nakaseke,2896,38009,Museveni,33208,69.00301494,2.950538116,66.29983292
70,Abim,875,18254,Museveni,12076,66.95038178,8.651030406,64.55568023
71,Amuru,3103,18742,Museveni,49001,43.75588256,3.628245449,40.19421042
72,Budaka,0,33261,Museveni,37570,62.76511397,3.132804757,62.76511397
73,Buliisa,1696,19316,Museveni,16543,63.13044641,7.044953086,59.35055383
74,Dokolo,2142,36774,Museveni,33378,64.38236298,3.373100563,62.0966365
75,Namutumba,2936,38427,Museveni,49722,58.95797737,2.609183732,56.53451535
76,Oyam,5411,62292,Museveni,81214,55.88305593,1.717113554,52.94370084
77,Maracha,4764,33674,Museveni,48112,52.45004052,3.124073452,47.74169319
78,Bududa,1432,29224,Museveni,26492,63.72896672,4.327824861,61.76837032
79,Bukedea,3148,37590,Museveni,38104,61.8303482,3.166446288,58.67692431
80,Lyantonde,798,23967,Museveni,18007,64.74469418,6.188816665,63.18231655
81,Amudat,246,30451,Museveni,12194,72.0622265,7.242193049,71.49861388
82,Buikwe,5430,40900,Kyagulanyi,104431,55.6819725,1.341453064,53.37760991
83,Buyende,4134,47916,Museveni,53884,61.19237445,2.276573832,58.21503936
84,Kyegegwa,3040,69129,Museveni,53959,61.04830792,2.281849157,58.85380573
85,Lamwo,2837,19322,Museveni,28545,56.23476381,4.846449872,51.88507122
86,Otuke,1941,25464,Museveni,14522,70.0830226,6.512020766,66.08434107
87,Zombo,4685,45578,Museveni,58841,52.32921771,2.560924234,48.53360555
88,Alebtong,3207,42832,Museveni,46977,59.43404373,2.729612103,56.66470934
89,Bulambuli,1539,38972,Museveni,19104,73.3422639,4.4108618,71.19474213
90,Buvuma,848,6814,Kyagulanyi,20510,51.6444654,7.452552163,49.6451727
91,Gomba,1564,24568,Kyagulanyi,25670,68.43102049,3.887399464,66.50761247
92,Kiryandongo,4662,38083,Museveni,65992,47.49413216,2.515017703,43.78485897
93,Kyankwanzi,2509,39859,Museveni,40446,62.65753248,2.918447803,60.34105493
94,Luuka,2450,27520,Kyagulanyi,52711,54.59627543,2.722793598,52.48591658
95,Namayingo,3110,27341,Kyagulanyi,46242,56.87748289,2.947759106,53.97728332
96,Ntoroko,756,19670,Museveni,12816,66.36043887,8.297023466,64.37608273
97,Serere,3876,38555,Museveni,51138,60.7506332,2.426126334,57.77573106
98,Bukomansimbi,1207,13649,Kyagulanyi,28966,62.16413914,4.128949671,60.58753608
99,Butambala,1135,9379,Kyagulanyi,18091,67.5864046,5.663555086,65.55282819
100,Kalungu,1387,16377,Kyagulanyi,31910,64.01952936,3.564220235,62.45560229
101,Sheema,2201,65220,Museveni,46622,63.90116995,2.447522667,62.19696324
102,Kibuku,1414,34078,Museveni,31311,65.95557295,3.436952953,64.4181318
103,Kole,3197,46900,Museveni,49262,58.75482472,2.646583555,56.07809975
104,Kween,1038,27467,Museveni,13358,71.62701784,6.714103653,69.42225998
105,Lwengo,2687,36411,Kyagulanyi,51667,63.03479953,2.261540223,61.11238302
106,Mitooma,1711,54935,Museveni,44041,60.62107136,2.826384356,59.09119359
107,Napak,2829,32490,Museveni,19306,65.93740076,5.57711987,60.94604608
108,Ngora,1769,24662,Museveni,28033,61.58600088,4.331561061,59.16191625
109,Buhweju,1273,41423,Museveni,17757,73.35743972,4.742756831,71.44743357
110,Nwoya,1552,13910,Museveni,30494,46.6757598,5.52757668,43.96180883
111,Agago,2572,47696,Museveni,31821,67.64646074,3.213900807,65.03141713
112,Rubirizi,1306,39686,Museveni,24485,66.84405807,4.280413823,65.07556061
113,Kagadi,5037,88830,Museveni,62029,64.69205373,1.799294171,61.82490893
114,Kakumiro,3347,73132,Museveni,51244,63.57691679,2.246767739,61.19794443
115,Omoro,2557,20902,Museveni,35214,51.23795281,4.377146339,47.69718622
116,Rubanda,1889,67263,Museveni,32559,70.82918963,2.832056623,69.13676477
117,Bunyangabu,1636,44435,Museveni,34547,62.62765037,3.419515361,60.85785374
118,Butebo,912,23532,Museveni,14708,71.40913244,6.144664969,69.63629648
119,Kyotera,2279,25598,Kyagulanyi,46817,62.5080082,2.531392146,60.68293933
120,Namisindwa,3351,40563,Museveni,38516,60.37081623,3.252358757,56.92296612
121,Pakwach,0,32354,Museveni,30632,61.12739686,4.011370414,61.12739686
122,Rukiga,1583,31251,Museveni,21170,65.27515788,5.18494218,62.67858607
123,Bugweri,2018,17428,Kyagulanyi,37889,55.40004473,3.720880958,53.02461361
124,Kapelebyong,1652,17529,Museveni,12201,69.21194075,7.976481869,65.04327639
125,Kassanda,3490,37265,Kyagulanyi,47934,64.44012522,2.344990282,61.85106604
126,Kikuube,3246,49490,Museveni,45739,59.46022601,2.801684024,56.58320408
127,Kwania,2820,36364,Museveni,31585,63.93871237,3.608983068,60.71905648
128,Nabilatuk,536,16038,Museveni,4436,79.23901343,14.79384097,76.73047222
129,Kalaki,1563,24556,Museveni,17995,66.65925555,5.85663202,63.76336316
130,Karenga,673,12819,Museveni,3205,82.22899917,17.52703077,78.49736623
131,Kazo,1078,73043,Museveni,17262,81.40732204,3.404672404,80.24622212
132,Kitagwenda,1191,40417,Museveni,28176,62.94435604,4.157186633,61.37801334
133,Madi,2414,25779,Museveni,23906,62.29575421,4.985489874,58.48842344
134,Obongi,884,7676,Museveni,6438,66.67874334,16.36043683,62.1034108
135,Rwampara,747,35981,Museveni,28146,59.98919626,4.49350354,58.92730219
136,Arua City,4645,39566,Museveni,92098,45.84573048,1.858690156,43.11443792
137,Gulu City,1952,14603,Museveni,68485,33.76756511,3.057030396,31.87976905
138,Jinja City,2750,21202,Kyagulanyi,83705,45.9095315,2.042649435,44.13247173
139,Fort Portal City,1424,25753,Museveni,27387,57.97154827,4.850912328,55.78625907
140,Mbarara City,1656,36466,Museveni,59437,48.09494284,2.760433495,46.64879357
141,Masaka City,1543,14992,Kyagulanyi,51548,57.86462207,2.58380402,56.6033726
142,Mbale City,3128,29717,Kyagulanyi,69277,53.11962862,2.13907724,51.00288278
143,Terego,4497,24718,Museveni,42261,55.56992367,3.323240606,50.8421119
144,Lira City,2140,30271,Museveni,57418,48.62935261,2.828078589,46.71474072
145,Hoima City,1450,19751,Museveni,25959,58.14279725,5.096907349,55.80476636
146,Soroti City,1252,12031,Amuriat,24392,56.45763045,5.64272836,54.22267445
