district,colour,winner,RegVoters,ValidVotes,InvalidVotes,TotalVotes
Apac,3,Museveni,88834,52252,3161,55413
Arua,3,Museveni,65738,33804,2263,36067
Bundibugyo,3,Museveni,113472,71773,2145,73918
Bushenyi,3,Museveni,140415,84741,2674,87415
Gulu,3,Museveni,45342,19839,2055,21894
Hoima,3,Museveni,90617,52732,2971,55703
Iganga,1,Kyagulanyi,186519,93952,3368,97320
Jinja,1,Kyagulanyi,120278,62361,3115,65476
Kabale,3,Museveni,136559,88777,2247,91024
Kabarole,3,Museveni,107428,62223,3256,65479
Kalangala,1,Kyagulanyi,35465,18741,1000,19741
Kampala,1,Kyagulanyi,1280409,537980,12624,550604
Kamuli,1,Kyagulanyi,236917,127831,5899,133730
Kapchorwa,3,Museveni,56051,39466,1021,40487
Kasese,3,Museveni,384058,227322,6682,234004
Kibaale,3,Museveni,68857,42227,1494,43721
Kiboga,3,Museveni,81434,48577,2052,50629
Kisoro,3,Museveni,158552,109032,2982,112014
Kitgum,3,Museveni,99234,50980,4459,55439
Kotido,3,Museveni,61086,38842,4846,43688
Kumi,3,Museveni,119112,67387,3336,70723
Lira,3,Museveni,103180,60604,2882,63486
Luwero,1,Kyagulanyi,257115,147315,4649,151964
Masaka,1,Kyagulanyi,55626,34961,1187,36148
Masindi,3,Museveni,154805,82177,4364,86541
Mbale,3,Museveni,108400,68701,2603,71304
Mbarara,3,Museveni,84209,56636,1419,58055
Moroto,3,Museveni,38004,24433,2225,26658
Moyo,3,Museveni,45367,24492,1542,26034
Mpigi,1,Kyagulanyi,135726,84386,2558,86944
Mubende,3,Museveni,196565,114626,5661,120287
Mukono,1,Kyagulanyi,355275,186974,4355,191329
Nebbi,3,Museveni,130508,68563,4079,72642
Ntungamo,3,Museveni,268541,186849,3921,190770
Pallisa,3,Museveni,131370,82896,3938,86834
Rakai,3,Museveni,135169,81766,3195,84961
Rukungiri,3,Museveni,185118,108385,4058,112443
Soroti,3,Museveni,92720,62319,2991,65310
Tororo,3,Museveni,268434,154503,5792,160295
Adjumani,3,Museveni,79364,46421,2540,48961
Bugiri,1,Kyagulanyi,193053,99590,5285,104875
Busia,1,Kyagulanyi,163571,96090,4793,100883
Katakwi,3,Museveni,83162,56246,0,56246
Nakasongola,3,Museveni,89647,54956,2416,57372
Ssembabule,3,Museveni,132240,79757,2297,82054
Kamwenge,3,Museveni,117466,90662,1087,91749
Kayunga,1,Kyagulanyi,190977,102503,4507,107010
Kyenjojo,3,Museveni,215012,129255,4744,133999
Mayuge,1,Kyagulanyi,231116,117627,4487,122114
Pader,3,Museveni,82298,44388,3244,47632
Sironko,3,Museveni,132465,81891,7,81898
Wakiso,1,Kyagulanyi,1154857,561500,12518,574018
Yumbe,3,Museveni,113855,71150,4075,75225
Kaberamaido,3,Museveni,52210,32822,1456,34278
Kanungu,3,Museveni,146064,85691,2604,88295
Nakapiripirit,3,Museveni,32661,23345,1145,24490
Amolatar,3,Museveni,71173,51276,1908,53184
Amuria,3,Museveni,88722,56536,2216,58752
Bukwo,3,Museveni,44126,31920,975,32895
Butaleja,3,Museveni,110737,69146,2098,71244
Ibanda,3,Museveni,140486,88759,2042,90801
Isingiro,3,Museveni,233099,200720,2410,203130
Kaabong,3,Museveni,41211,29784,3221,33005
Kaliro,3,Museveni,109466,67410,3094,70504
Kiruhura,3,Museveni,81891,76432,311,76743
Koboko,3,Museveni,92845,47906,2933,50839
Manafwa,3,Museveni,79924,49128,1849,50977
Mityana,1,Kyagulanyi,176029,112617,3516,116133
Nakaseke,3,Museveni,107133,71029,2896,73925
Abim,3,Museveni,36539,23588,875,24463
Amuru,3,Museveni,87122,35018,3103,38121
Budaka,3,Museveni,100900,63330,0,63330
Buliisa,3,Museveni,44869,26630,1696,28326
Dokolo,3,Museveni,93712,58192,2142,60334
Namutumba,3,Museveni,121149,68491,2936,71427
Oyam,3,Museveni,184088,97463,5411,102874
Maracha,3,Museveni,101182,48306,4764,53070
Bududa,3,Museveni,73039,45115,1432,46547
Bukedea,3,Museveni,99828,58576,3148,61724
Lyantonde,3,Museveni,51076,32271,798,33069
Amudat,3,Museveni,43647,31207,246,31453
Buikwe,1,Kyagulanyi,235640,125779,5430,131209
Buyende,3,Museveni,138849,80831,4134,84965
Kyegegwa,3,Museveni,138528,81529,3040,84569
Lamwo,3,Museveni,65223,33841,2837,36678
Otuke,3,Museveni,48541,32078,1941,34019
Zombo,3,Museveni,123432,59906,4685,64591
Alebtong,3,Museveni,115804,65620,3207,68827
Bulambuli,3,Museveni,71664,51021,1539,52560
Buvuma,1,Kyagulanyi,42415,21057,848,21905
Gomba,1,Kyagulanyi,81314,54080,1564,55644
Kiryandongo,3,Museveni,125685,55031,4662,59693
Kyankwanzi,3,Museveni,108311,65356,2509,67865
Luuka,1,Kyagulanyi,116094,60933,2450,63383
Namayingo,1,Kyagulanyi,107234,57882,3110,60992
Ntoroko,3,Museveni,38098,24526,756,25282
Serere,3,Museveni,130290,75276,3876,79152
Bukomansimbi,1,Kyagulanyi,76557,46384,1207,47591
Butambala,1,Kyagulanyi,55813,36587,1135,37722
Kalungu,1,Kyagulanyi,88687,55390,1387,56777
Sheema,3,Museveni,129151,80328,2201,82529
Kibuku,3,Museveni,91971,59246,1414,60660
Kole,3,Museveni,119437,66978,3197,70175
Kween,3,Museveni,47080,32684,1038,33722
Lwengo,1,Kyagulanyi,139772,85418,2687,88105
Mitooma,3,Museveni,111839,66087,1711,67798
Napak,3,Museveni,56678,34543,2829,37372
Ngora,3,Museveni,72976,43174,1769,44943
Buhweju,3,Museveni,66649,47619,1273,48892
Nwoya,3,Museveni,57186,25140,1552,26692
Agago,3,Museveni,98354,63961,2572,66533
Rubirizi,3,Museveni,73848,48057,1306,49363
Kagadi,3,Museveni,175680,108614,5037,113651
Kakumiro,3,Museveni,140691,86100,3347,89447
Omoro,3,Museveni,72216,34445,2557,37002
Rubanda,3,Museveni,111615,77167,1889,79056
Bunyangabu,3,Museveni,92440,56257,1636,57893
Butebo,3,Museveni,51443,35823,912,36735
Kyotera,1,Kyagulanyi,124872,75776,2279,78055
Namisindwa,3,Museveni,97191,55324,3351,58675
Pakwach,3,Museveni,78801,48169,0,48169
Rukiga,3,Museveni,60965,38212,1583,39795
Bugweri,1,Kyagulanyi,84953,45046,2018,47064
Kapelebyong,3,Museveni,39629,25776,1652,27428
Kassanda,1,Kyagulanyi,134798,83374,3490,86864
Kikuube,3,Museveni,112825,63840,3246,67086
Kwania,3,Museveni,87587,53182,2820,56002
Nabilatuk,3,Museveni,21367,16395,536,16931
Kalaki,3,Museveni,53973,34415,1563,35978
Karenga,3,Museveni,18035,14157,673,14830
Kazo,3,Museveni,92843,74503,1078,75581
Kitagwenda,3,Museveni,76037,46670,1191,47861
Madi,3,Museveni,63404,37084,2414,39498
Obongi,3,Museveni,19321,11999,884,12883
Rwampara,3,Museveni,70346,41453,747,42200
Arua City,3,Museveni,170066,73323,4645,77968
Gulu City,3,Museveni,103401,32964,1952,34916
Jinja City,1,Kyagulanyi,154750,68295,2750,71045
Fort Portal City,3,Museveni,65163,36352,1424,37776
Mbarara City,3,Museveni,114511,53418,1656,55074
Masaka City,1,Kyagulanyi,122339,69248,1543,70791
Mbale City,1,Kyagulanyi,147774,75369,3128,78497
Terego,3,Museveni,95118,48360,4497,52857
Lira City,3,Museveni,111772,52214,2140,54354
Hoima City,3,Museveni,62018,34609,1450,36059
Soroti City,3,Amuriat,56019,30375,1252,31627
OVERALLTOTAL,,,18047584,10320444,392248,10712692
